cluster,rank,itemset,itemset_description,cluster_mean_exact_support,overall_mean_exact_support,cluster_minus_overall
5,12,11230 21000,discontinuous low-density urban fabric + arable land,0.3370229116905235,0.09949247186697152,0.237530439823552
5,13,21000 23000 31000,arable land + pastures + forests,0.35176796198720767,0.11458446265065085,0.2371834993365568
5,14,21000 31000,arable land + forests,0.3924882983148639,0.15585249424836992,0.236635804066494
5,15,11230 12220 21000,discontinuous low-density urban fabric + other roads and associated land + arable land,0.3330584855893066,0.09719973444440651,0.23585875114490013
6,1,21000 23000,arable land + pastures,0.44816419836404303,0.2796899166035233,0.1684742817605197
6,2,23000,pastures,0.615701358613888,0.4503828058556061,0.1653185527582819
6,3,12220 21000 23000,other roads and associated land + arable land + pastures,0.40256182960733744,0.24957640080191867,0.15298542880541877
6,4,12220 23000,other roads and associated land + pastures,0.5537281209617391,0.40778167372326735,0.14594644723847172
6,5,21000,arable land,0.5330998367045976,0.42522649628271,0.10787334042188762
6,6,12100 23000,industrial/commercial/public/military/private units + pastures,0.3361260376977555,0.23781953077901744,0.09830650691873807
6,7,12220 21000,other roads and associated land + arable land,0.4813603462088624,0.38316538647937554,0.09819495972948689
6,8,11300 21000 23000,isolated structures + arable land + pastures,0.15446169855401518,0.059939430802910455,0.09452226775110473
6,9,12100 12220 23000,industrial/commercial/public/military/private units + other roads and associated land + pastures,0.3240390466107941,0.2296960936515067,0.09434295295928738
6,10,12100 21000 23000,industrial/commercial/public/military/private units + arable land + pastures,0.22976573102560638,0.1367711784530438,0.09299455257256259
6,11,11300 21000,isolated structures + arable land,0.1862237710930857,0.09334327687364724,0.09288049421943845
6,12,11300 23000,isolated structures + pastures,0.18893917022245774,0.09651395990925599,0.09242521031320175
6,13,12100 12220 21000 23000,industrial/commercial/public/military/private units + other roads and associated land + arable land + pastures,0.2223058412843771,0.13082653460414248,0.09147930668023463
6,14,11230 23000,discontinuous low-density urban fabric + pastures,0.21466639610389562,0.12438862816639404,0.09027776793750159
6,15,11230 12220 23000,discontinuous low-density urban fabric + other roads and associated land + pastures,0.21056678685688437,0.12277671249740336,0.08779007435948101
7,1,31000,forests,0.6585901564464529,0.29269036965265466,0.36589978679379825
7,2,11300,isolated structures,0.43650760034323277,0.1428418081662727,0.2936657921769601
7,3,23000 31000,pastures + forests,0.48654779585901053,0.19314480196841807,0.29340299389059243
7,4,12220 31000,other roads and associated land + forests,0.5378841682223462,0.2532114740967861,0.28467269412556007
7,5,11300 31000,isolated structures + forests,0.3376065470851534,0.06173449454885328,0.27587205253630015
7,6,11300 23000,isolated structures + pastures,0.35267186789320726,0.09651395990925599,0.25615790798395127
7,7,11300 12220,isolated structures + other roads and associated land,0.3698303820080216,0.11883644103664656,0.25099394097137506
7,8,12220 23000 31000,other roads and associated land + pastures + forests,0.4051289905622415,0.16359917356827075,0.24152981699397075
7,9,11300 12220 31000,isolated structures + other roads and associated land + forests,0.280912281750916,0.04716420922333248,0.2337480725275835
7,10,11300 23000 31000,isolated structures + pastures + forests,0.27503020349426116,0.046144465453137,0.22888573804112416
7,11,11300 12220 23000,isolated structures + other roads and associated land + pastures,0.3032474286269325,0.08257223001137602,0.22067519861555646
7,12,23000,pastures,0.6564988315580134,0.4503828058556061,0.20611602570240728
7,13,21000 31000,arable land + forests,0.3553779199411313,0.15585249424836992,0.1995254256927614
7,14,11300 12220 23000 31000,isolated structures + other roads and associated land + pastures + forests,0.23440134291256098,0.03809179060765694,0.19630955230490404
7,15,11300 21000,isolated structures + arable land,0.2836129500008125,0.09334327687364724,0.19026967312716525
