city,share_transactions_with_nonartificial,share_transactions_artificial_only,share_transactions_nonartificial_only,mean_nonartificial_types_per_transaction,median_nonartificial_types_per_transaction,mean_transaction_length,cluster,country_code
ELBLAG,0.6739130434782609,0.32608695652173914,0.03373313343328336,1.6304347826086956,2.0,6.10944527736132,1,PL
ENSCHEDE,0.6323296354992076,0.3676703645007924,0.0038487661308580483,1.446230473171836,2.0,5.688702739415893,6,NL
FARO,0.9221888709305011,0.07781112906949895,0.028169014084507043,2.0690371738628492,2.0,5.6672823828215195,6,PT
FOGGIA,0.7941427960666951,0.20585720393330484,0.01453612654980761,1.065840102607952,1.0,4.434587430525866,2,IT
FULDA,0.7659430122116689,0.23405698778833106,0.046811397557666216,1.5318860244233379,2.0,5.756445047489824,6,DE
GALWAY,0.730632911392405,0.26936708860759495,0.0060759493670886075,1.4997468354430379,1.0,6.177215189873418,1,IE
GERA,0.7889423076923077,0.2110576923076923,0.0375,1.883173076923077,2.0,6.172596153846154,5,DE
GLOGOW,0.6172248803827751,0.3827751196172249,0.025518341307814992,1.3620414673046253,1.0,6.212121212121212,1,PL
GNIEZNO,0.7698412698412699,0.23015873015873015,0.004761904761904762,1.4468253968253968,1.0,6.662698412698413,3,PL
GOUDA,0.46472019464720193,0.5352798053527981,0.0,0.6958637469586375,0.0,6.261557177615572,1,NL
GUIMARAES,0.9821626524236622,0.0178373475763378,0.007155094225536632,2.439584802982969,2.0,7.459941549934496,5,PT
HASTINGS,0.4928571428571429,0.5071428571428571,0.008333333333333333,0.8678571428571429,0.0,6.333333333333333,4,UK
HRADEC_KRALOVE,0.7214748380667663,0.2785251619332337,0.01943198804185351,1.4235176880916791,1.0,5.829596412556054,1,CZ
INNSBRUCK,0.7470039946737683,0.2529960053262317,0.015978695073235686,1.403462050599201,1.0,6.0965379494007985,4,AT
IOANNINA,0.7361256544502618,0.2638743455497382,0.0036649214659685864,1.4225130890052355,1.0,5.739267015706806,1,EL
IRUN,0.7777777777777778,0.2222222222222222,0.02904040404040404,1.6767676767676767,2.0,6.164141414141414,6,ES
KARLOVY_VARY,0.849624060150376,0.15037593984962405,0.009189640768588136,1.4853801169590644,1.0,6.334168755221387,1,CZ
KECSKEMET,0.8165988608624898,0.18340113913751016,0.013181448331977217,1.8426362896663955,2.0,5.552644426362897,6,HU
KORTRIJK,0.7703672435626847,0.22963275643731532,0.0008442380751371887,1.5445335584634867,2.0,6.380329252849304,6,BE
KUOPIO,0.9860671310956302,0.013932868904369854,0.13390029856147653,2.6012847190807924,2.0,4.551886365692572,7,FI
LARISA,0.5729442970822282,0.4270557029177719,0.003713527851458886,0.8068965517241379,1.0,5.039787798408488,2,EL
LEMESOS,0.6616777763803295,0.33832222361967046,0.001383473776883411,1.067161363350522,1.0,6.105395547729845,3,CY
LE_MANS,0.6935443977244621,0.306455602275538,0.004946821667078902,1.4496660895374722,1.0,5.641108088053426,6,FR
LIBEREC,0.6591735537190082,0.34082644628099174,0.005289256198347108,1.4370247933884297,1.0,6.265454545454546,1,CZ
LIEPAJA,0.532258064516129,0.46774193548387094,0.012733446519524618,1.1366723259762308,1.0,5.300509337860781,1,LV
LINCOLN,0.5097847358121331,0.49021526418786693,0.004892367906066536,0.9686888454011742,1.0,5.800391389432486,4,UK
LIVORNO,0.6593647316538883,0.34063526834611174,0.013691128148959474,1.4457831325301205,1.0,5.742059145673603,6,IT
LJUBLJANA,0.7937640375214692,0.20623596247853085,0.002113885585942661,1.6526621746597965,2.0,5.615272823358436,4,SI
LUBECK,0.7379780386217342,0.26202196137826583,0.023097311624384703,1.63801590306702,2.0,5.938280954184021,4,DE
LUXEMBOURG,0.6563049853372434,0.3436950146627566,0.0017595307917888563,1.209384164222874,1.0,5.964222873900293,1,LU
MAASTRICHT,0.5600835945663531,0.4399164054336468,0.006269592476489028,1.2920585161964473,1.0,6.212121212121212,1,NL
MANRESA,0.7717996289424861,0.22820037105751392,0.022263450834879406,1.7105751391465678,2.0,5.937847866419295,2,ES
MARIBOR,0.8510151558478696,0.1489848441521304,0.008864741206748641,1.9436659994280812,2.0,5.623677437803832,7,SI
MARTIGUES,0.900398406374502,0.099601593625498,0.01045816733067729,2.014940239043825,2.0,5.951195219123506,7,FR
MODENA,0.7399845916795069,0.2600154083204931,0.004044684129429892,1.4687981510015409,2.0,5.776964560862866,6,IT
MOSTAR,0.6988636363636364,0.30113636363636365,0.002840909090909091,1.6420454545454546,2.0,6.3210227272727275,3,BA
NARVA,0.7014446227929374,0.2985553772070626,0.0449438202247191,1.5890850722311396,2.0,5.443017656500802,4,EE
NEUMUNSTER,0.6864738076622361,0.31352619233776385,0.018764659890539485,1.511336982017201,2.0,5.922595777951525,4,DE
NEWPORT,0.72932005197055,0.27067994802945,0.016890428757037678,1.4027717626678216,1.0,5.398873971416197,4,UK
NITRA,0.6373770491803279,0.3626229508196721,0.01901639344262295,1.2649180327868852,1.0,5.828196721311476,1,SK
NORRKOPING,0.9691421821940056,0.03085781780599439,0.1542152664993356,2.8297652443525765,3.0,5.117820758895615,7,SE
NOVI_SAD,0.6076388888888888,0.3923611111111111,0.006944444444444444,1.0260416666666667,1.0,5.258680555555555,1,RS
NYIREGYHAZA,0.8778042959427208,0.12219570405727924,0.02315035799522673,2.0121718377088307,2.0,5.6381861575179,6,HU
ODENSE,0.8066327425864187,0.19336725741358132,0.013511142305667662,1.7543428671696788,2.0,5.821196701175645,6,DK
