repeat,k,ari
27,10,0.6699672725206176
28,2,0.9208006335949313
28,3,0.9365670459309656
28,4,0.939662806508372
28,5,0.8749664576158762
28,6,0.8922969586330435
28,7,0.8887136186225477
28,8,0.6439458811440315
28,9,0.640693384998468
28,10,0.7237277169619315
29,2,0.2634458575437329
29,3,0.6559558567741725
29,4,0.5269682759892584
29,5,0.7392856896811891
29,6,0.736444040347158
29,7,0.5981561183775249
29,8,0.6254737464777107
29,9,0.6235440501988693
29,10,0.6804420318718543
30,2,0.378909408604649
30,3,0.8160133577581887
30,4,0.8046028743409834
30,5,0.7356970510736677
30,6,0.6447076239822354
30,7,0.6976852816311848
30,8,0.5746580093303871
30,9,0.5083809297832314
30,10,0.581510885173387
31,2,0.5139162456110302
31,3,0.5217963225706391
31,4,0.626410458432175
31,5,0.7416564883433662
31,6,0.8075379511102655
31,7,0.8240297414521489
31,8,0.6434853747977616
31,9,0.6029404133347307
31,10,0.606756716776079
32,2,0.4850885562017733
32,3,0.3140536848072856
32,4,0.49204900108277955
32,5,0.5722770000248804
32,6,0.6330331656230133
32,7,0.6659214304342072
32,8,0.4691539484093114
32,9,0.46230030824239965
32,10,0.5624889517412056
33,2,0.8080650161849864
33,3,0.7975173618091895
33,4,0.8180941846628752
33,5,0.7564182277320236
33,6,0.8232232926211219
33,7,0.8361308838245568
33,8,0.6537423225441269
33,9,0.6126103125830431
33,10,0.6952887485370397
34,2,0.8080650161849864
34,3,0.7975173618091895
34,4,0.8180941846628752
34,5,0.8116869155451203
34,6,0.8278186700785626
34,7,0.8410012016569813
34,8,0.6537423225441269
34,9,0.6363409223868954
34,10,0.7852409242851095
35,2,0.12089074452503272
35,3,0.5205887830138041
35,4,0.5875271190203522
35,5,0.6670288786697123
35,6,0.6136453787142091
35,7,0.6223095702792947
35,8,0.6767716984543445
35,9,0.7163064035767857
35,10,0.5868243043754962
36,2,0.4042525710779961
36,3,0.8914114784178355
36,4,0.8781738631252588
36,5,0.8633279101664018
36,6,0.7659256069019754
36,7,0.851375956086426
36,8,0.8476370135490335
36,9,0.8471274416508404
36,10,0.8416274934671341
37,2,0.3301457535887802
37,3,0.8291770958223944
37,4,0.8611509881822059
37,5,0.8090540341674963
37,6,0.8224796665871078
37,7,0.6243090922004186
37,8,0.7168904479020076
37,9,0.7248368152892308
37,10,0.6268857713271857
38,2,0.7720997823854144
38,3,0.8119507423873487
38,4,0.8303430497807565
38,5,0.7746356050791041
38,6,0.7938539122401185
38,7,0.8130306998974243
38,8,0.6510370644475129
38,9,0.6272882841520931
38,10,0.5522390565043257
39,2,0.9599960816486464
39,3,0.9241294960515124
39,4,0.9182811089340113
39,5,0.931274538156092
39,6,0.9333093492172269
39,7,0.9309927771309724
39,8,0.738409191295185
39,9,0.6648083100177232
39,10,0.7520505453542279
40,2,0.5139162456110302
40,3,0.5371755714464883
40,4,0.6840830750584576
40,5,0.8586190153418745
40,6,0.918720220219855
40,7,0.9194430462147504
40,8,0.6625946434959482
40,9,0.6584983572957169
40,10,0.81307617146013
41,2,0.378909408604649
41,3,0.8019126151650899
41,4,0.7810315394825287
41,5,0.7206476835189524
41,6,0.7296122173919724
41,7,0.7244975439117848
41,8,0.6193098466149786
41,9,0.5479855006851218
41,10,0.5740082041586597
42,2,0.5138096559663675
42,3,0.32554425058659026
42,4,0.6232438237148702
42,5,0.7341323343306752
42,6,0.8133549162600855
42,7,0.8366811039919926
42,8,0.6208829215515865
42,9,0.6626632299059949
42,10,0.776298834522327
43,2,0.3301457535887802
43,3,0.8974447334507192
43,4,0.6687869852559334
43,5,0.9459500278266842
43,6,0.907643940034104
43,7,0.9591346062252569
43,8,0.7638864845726991
43,9,0.9537435054012634
43,10,0.7804566501676513
44,2,0.4851933910944513
44,3,0.5167448983248091
44,4,0.6136083132151746
44,5,0.6965260152391923
44,6,0.7732092288781436
44,7,0.5946044403068143
44,8,0.66425503052227
44,9,0.6667117914664253
44,10,0.6464754675400202
45,2,0.06284858553158974
45,3,0.45676057812396736
45,4,0.6656042923864144
45,5,0.8475342809937491
45,6,0.9067587921677386
45,7,0.9035546879390903
45,8,0.7082411052975707
45,9,0.6298505607641935
45,10,0.7134682409962617
46,2,0.30720953278116936
46,3,0.7724518115646
46,4,0.7746661503497071
46,5,0.7081112436481455
46,6,0.7860120059032827
46,7,0.8017427551056989
46,8,0.5625578926882774
46,9,0.5836249531218701
46,10,0.6586293534067549
47,2,0.4304144935492726
47,3,0.48131805617729284
47,4,0.5324096206062292
47,5,0.6331033893063365
47,6,0.6786476147927211
47,7,0.7123330152371036
47,8,0.5563843652600654
47,9,0.5773621090517411
47,10,0.5880267372430963
48,2,0.30705761597864345
48,3,0.771126861933359
48,4,0.8006707529833448
48,5,0.7989843588340226
48,6,0.8228385646245299
48,7,0.8319448929345891
48,8,0.6501256904634172
48,9,0.5996062085753336
48,10,0.6780357827734005
49,2,0.2844752818733738
49,3,0.591149409806382
49,4,0.4195830519358303
49,5,0.5671707326385722
49,6,0.6326194203877918
49,7,0.6391099607994262
49,8,0.5706659421404078
49,9,0.4986064830674737
49,10,0.5675677439139768
50,2,0.2631919632692772
50,3,0.6242192981947449
50,4,0.523764966451644
50,5,0.6502443184144178
50,6,0.7114062362689594
50,7,0.7180658177265444
50,8,0.5357713739374654
50,9,0.5519581314229128
50,10,0.5857909035881699
51,2,0.22444941185092895
51,3,0.46004026113776886
51,4,0.6975495598370828
51,5,0.6576954831976171
51,6,0.670587355549081
51,7,0.6863243536562715
51,8,0.4432307256437283
51,9,0.5028365174503727
51,10,0.40440010340033394
52,2,0.06284858553158974
52,3,0.4606857307463448
52,4,0.33930773126667274
52,5,0.42074018288086645
52,6,0.48384935913212646
52,7,0.5040334844381363
52,8,0.4936423234541513
52,9,0.43442688954194836
52,10,0.503670307250016
53,2,0.573573917525319
53,3,0.5859131693334175
53,4,0.6884938935795438
53,5,0.7122893453742543
53,6,0.7755210056235528
53,7,0.8035804691280318
53,8,0.5314551243180647
53,9,0.5287362575027682
53,10,0.5881369509943923
54,2,0.4851933910944513
54,3,0.5412589446102518
54,4,0.635523718987891
54,5,0.7383410209745948
54,6,0.7846711376864229
54,7,0.8060089854677197
54,8,0.5724409060539931
54,9,0.6158112133728911
54,10,0.6993852315159943
55,2,0.4851933910944513
55,3,0.3021499807801848
55,4,0.5108505935223299
55,5,0.6976458454412617
55,6,0.728001339714421
55,7,0.751327731092437
55,8,0.5055864712644231
55,9,0.5035556217633845
55,10,0.6571998421041697
56,2,0.33048129231651246
56,3,0.8105844693316252
56,4,0.8230807927947285
56,5,0.6998245501678843
56,6,0.686694519452495
56,7,0.6808662740129711
56,8,0.48042076611460177
56,9,0.4621539491918505
56,10,0.5343613999244343
57,2,0.4851933910944513
57,3,0.5412589446102518
57,4,0.686829252216729
57,5,0.8081047224520571
57,6,0.8685968728227684
57,7,0.8790781075087925
57,8,0.8052704701295209
57,9,0.8379407010292402
57,10,0.8307005917331189
58,2,0.12080808080808081
58,3,0.5946545212946436
58,4,0.7015429564317402
58,5,0.9299833159983674
58,6,0.8552623600408112
58,7,0.9375760594729906
58,8,0.6965256023716943
58,9,0.6967167158532904
58,10,0.7900763358778626
59,2,0.12080808080808081
59,3,0.5704743963007364
59,4,0.6767199551954929
59,5,0.8382275328186375
59,6,0.9094051045007544
59,7,0.9101765846687762
59,8,0.6622498481495653
59,9,0.6044876102747613
59,10,0.6912280701754386
60,2,0.3301457535887802
60,3,0.8032948376136663
60,4,0.8186359896074242
60,5,0.7640748887565729
60,6,0.8197291497617704
60,7,0.8325172287579069
60,8,0.6668296157255029
60,9,0.6157185191368588
60,10,0.6220878534590076
61,2,0.06284858553158974
61,3,0.45676057812396736
61,4,0.43604863800558125
61,5,0.5065042916960518
61,6,0.5667394380819375
61,7,0.578112789136548
61,8,0.42795448348683535
61,9,0.4277900297785918
61,10,0.5211073079925539
62,2,0.13572710001895383
62,3,0.6118477886299372
62,4,0.7197746143572694
62,5,0.961261429040987
62,6,0.9584859243521289
62,7,0.9645110856475863
62,8,0.9101232638073354
62,9,0.9135367073435038
62,10,0.9293760120988165
63,2,0.5138096559663675
63,3,0.5897556959182851
63,4,0.6946314480205061
63,5,0.8505488657050946
63,6,0.9133035112712079
63,7,0.9142233098669685
63,8,0.6796259365976975
63,9,0.6769526048369698
63,10,0.7671840354767184
64,2,0.204007485704859
64,3,0.6896739782449592
64,4,0.7958748584966565
64,5,0.751944504294294
64,6,0.818363941360313
64,7,0.8529194214640918
64,8,0.713139086984694
64,9,0.7425062919713253
64,10,0.5620989810187137
65,2,0.5432432604425143
65,3,0.613605204110019
65,4,0.6805101700401812
65,5,0.917870562841127
65,6,0.6838860775594717
65,7,0.6807227852243732
65,8,0.7043334479140705
65,9,0.6231007668161656
65,10,0.7037296714947757
66,2,0.7026542224128787
66,3,0.7238035804053287
66,4,0.5013567318593565
66,5,0.4908201746343079
66,6,0.5621823869184639
66,7,0.589740553820652
66,8,0.5466782690228001
66,9,0.5655747398901654
66,10,0.5988180896570482
67,2,0.8824127248460211
67,3,0.9029492093054244
67,4,0.8822364401101689
67,5,0.8145094399782614
67,6,0.8308130367536181
67,7,0.8397981078166517
67,8,0.6107104397442835
67,9,0.6136337393635585
67,10,0.5998097252286446
68,2,0.2850914727680806
68,3,0.792659851094682
68,4,0.7976808142780949
68,5,0.7270137924453565
68,6,0.7916695225678725
68,7,0.8075801749271136
